Rank;Time;Name;Year;Country;Position;Race;Date;Result score
356;1:59.34;Anele SKWATSHA;16-May-09;RSA;2f3;Germiston Stadium, Johannesburg (RSA);28-Feb-26;777
357;1:59.35;Heini SMIT;;RSA;7;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;777
357;1:59.35;Tylor KROEF;;RSA;5;UJ Stadium, Johannesburg (RSA);14-Mar-26;777
359;1:59.36;Tshepo LETSOLO;13-May-06;RSA;4f1;Germiston Stadium, Johannesburg (RSA);07-Feb-26;776
360;1:59.37;Boitshepo MASHILO;03-Jan-02;RSA;10f9;Boston Univ. Track & Tennis Center, Boston, MA (USA) (i);31-Jan-26;824
361;1:59.38;Tshegofatso MODISELLE;16-Aug-03;RSA;7f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;776
362;1:59.40;Daniel CONRADIE;;RSA;3;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;775
363;1:59.44;Reagan TIETIES;;RSA;8;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;774
364;1:59.51;Nj DE KLERK;30-Nov-10;RSA;1h4;UJ Stadium, Johannesburg (RSA);13-Mar-26;773
364;1:59.51;Muzi MVUNDLA;;RSA;1h5;UJ Stadium, Johannesburg (RSA);13-Mar-26;773
366;1:59.53;Markus DELPORT;15-Jan-06;RSA;5f3;Germiston Stadium, Johannesburg (RSA);14-Feb-26;772
367;1:59.57;Markus DELPORT;15-Jan-06;RSA;4f3;Germiston Stadium, Johannesburg (RSA);07-Feb-26;771
368;1:59.58;Juandre DE BRUIN;08-Aug-03;RSA;3f4;Germiston Stadium, Johannesburg (RSA);31-Jan-26;771
369;1:59.59;Junior NEWTON;11-May-09;RSA;1f3;Pilditch Stadium, Pretoria (RSA);21-Feb-26;771
370;1:59.64;Amogelang Treasure MOGOSHANE;17-Feb-09;RSA;1h3;UJ Stadium, Johannesburg (RSA);13-Mar-26;769
371;1:59.65;Lucky MAILA;;RSA;7f1;Mosier Indoor Facility, Norman, OK (USA) (i);23-Jan-26;817
372;1:59.68;Hanno BESTER;01-Jan-09;RSA;2f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;768
373;1:59.70;Neo DLUDLA;30-Dec-01;RSA;3h2;UJ Stadium, Johannesburg (RSA);13-Mar-26;768
374;1:59.73;Phio MAPADIMENG;02-Sept-10;RSA;2;Pilditch Stadium, Pretoria (RSA);28-Jan-26;767
374;1:59.73;Godwil MATHEBULA;05-Jan-08;RSA;1f2;Germiston Stadium, Johannesburg (RSA);14-Feb-26;767
376;1:59.74;Ruan Louis HARMSE;10-Mar-07;RSA;2;McArthur Stadium, Potchefstroom (RSA);24-Feb-26;767
377;1:59.75;Geordan HARRIS;;RSA;3;McArthur Stadium, Potchefstroom (RSA);14-Mar-26;767
378;1:59.76;Migael VISSER;;RSA;3;McArthur Stadium, Potchefstroom (RSA);24-Feb-26;767
379;1:59.81;Juan-Franco HATTINGH;15-May-07;RSA;4;Pilditch Stadium, Pretoria (RSA);28-Feb-26;765
380;1:59.83;Anele SKWATSHA;16-May-09;RSA;2h3;UJ Stadium, Johannesburg (RSA);13-Mar-26;765
381;1:59.89;Ruan PATON;09-Mar-09;RSA;3f1;Pilditch Stadium, Pretoria (RSA);21-Feb-26;763
382;1:59.90;Katlego MADIOPE;13-Apr-00;RSA;4f2;Germiston Stadium, Johannesburg (RSA);28-Feb-26;763
383;1:59.91;Ruan Louis HARMSE;10-Mar-07;RSA;5;McArthur Stadium, Potchefstroom (RSA);17-Mar-26;763
384;1:59.92;Goodman CINGO;05-Dec-06;RSA;5f1;Germiston Stadium, Johannesburg (RSA);28-Feb-26;763
385;1:59.93;Wian NOLTE;02-Nov-07;RSA;6h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;762
386;1:59.97;Zenzi RAADT;;RSA;3;Pilditch Stadium, Pretoria (RSA);28-Jan-26;761
387;1:59.98;Markus DELPORT;15-Jan-06;RSA;4f4;Germiston Stadium, Johannesburg (RSA);31-Jan-26;761
387;1:59.98;Oscar NOTSHWELEKA;07-Aug-02;RSA;2f2;Germiston Stadium, Johannesburg (RSA);07-Feb-26;761
389;1:59.99;Schalk MEIRING;;RSA;9;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;761
390;2:00.00;Phio MAPADIMENG;02-Sept-10;RSA;4f2;Pilditch Stadium, Pretoria (RSA);14-Feb-26;761
390;2:00.00;Adriaan COETZEE;;RSA;2;UJ Stadium, Johannesburg (RSA);14-Mar-26;761
